,Year,Symbol,Date,Eps,EpsDiluted,Assets,Liabilities,LongTermDebt,Equity,LiabilityEquity,PaymentDividend,CommonDividendDeclared,CommonDividend
0,2025,A,2025-10-31,4.59,4.57,12727000000,5986000000,3050000000,6741000000,12727000000,,0.992,
1,2024,A,2024-10-31,4.44,4.43,79000000,5948000000,3345000000,5898000000,11846000000,,0.944,
2,2023,A,2023-10-31,4.22,4.19,82000000,4918000000,2735000000,5845000000,10763000000,,0.900,
3,2022,A,2022-10-31,4.19,4.18,87000000,5227000000,2733000000,5305000000,10532000000,,0.840,
4,2021,A,2021-10-31,3.98,3.94,76000000,5316000000,,5389000000,10705000000,,0.776,
5,2020,A,2020-10-31,2.33,2.30,67000000,4754000000,,4873000000,9627000000,,0.720,
6,2019,A,2019-10-31,3.41,3.37,3202000000,4704000000,,4748000000,9452000000,,0.656,
7,2018,A,2018-10-31,0.98,0.97,8541000000,3970000000,,4567000000,8541000000,,0.164,
8,2017,A,2017-10-31,2.12,2.10,8426000000,3591000000,,4831000000,8426000000,,0.149,
9,2016,A,2016-10-31,1.42,1.40,7802000000,3556000000,,4243000000,7802000000,,0.132,
10,2015,A,2015-10-31,1.20,1.20,7479000000,3309000000,,4167000000,7479000000,,0.115,
11,2014,A,2014-10-31,1.51,1.49,10831000000,5530000000,,5298000000,10831000000,,0.528,
12,2013,A,2013-10-31,2.12,2.10,10686000000,5397000000,,5286000000,10686000000,,0.46,
13,2012,A,2012-10-31,3.31,3.27,10536000000,5351000000,,5182000000,10536000000,,0.30,
14,2011,A,2011-10-31,2.92,2.85,9057000000,4741000000,,4308000000,9057000000,,,
15,2024,AAL,2024-12-31,1.29,1.24,61783000000,,24617000000,7000000,61783000000,,,
16,2023,AAL,2023-12-31,1.26,1.21,63058000000,,28895000000,7000000,63058000000,,,
17,2022,AAL,2022-12-31,0.20,0.19,64716000000,,31844000000,6000000,64716000000,,,
18,2021,AAL,2021-12-31,-3.09,-3.09,66467000000,,35008000000,6000000,66467000000,,0,
19,2020,AAL,2020-12-31,-18.36,-18.36,62008000000,,29324000000,6000000,62008000000,43000000,0.10,43000000
20,2019,AAL,2019-12-31,3.80,3.79,59995000000,,20896000000,4000000,59995000000,178000000,0.1,180000000
21,2018,AAL,2018-12-31,0.34,0.34,60580000000,,20566000000,-169000000,60580000000,186000000,0.1,188000000
22,2017,AAL,2017-12-31,0.46,0.46,51396000000,,1800000000,3926000000,51396000000,198000000,0.1,198000000
23,2016,AAL,2016-12-31,4.85,4.81,51274000000,,212000000,3785000000,51274000000,224000000,0.40,224000000
24,2015,AAL,2015-12-31,11.39,11.07,48415000000,,1900000000,5635000000,48415000000,,0.40,278000000
25,2014,AAL,2014-12-31,4.02,3.93,43771000000,,17904000000,2021000000,43771000000,,0.20,148000000
26,2013,AAL,2013-12-31,-11.25,-11.25,42278000000,,6000000000,-2731000000,42278000000,,,
27,2012,AAL,2012-12-31,-5.60,-5.60,23510000000,,0,-7987000000,23510000000,,,
28,2011,AAL,2011-12-31,-1.31,-1.31,23848000000,,657000000,-7111000000,23848000000,,,
29,2024,AAP,2024-12-28,-5.63,-5.61,10798109000,8628167000,299110000,8000,10798109000,59855000,1.00,
30,2023,AAP,2023-12-30,0.50,0.50,12276326000,9756598000,298369000,8000,12276326000,209293000,2.25,
31,2022,AAP,2022-12-31,8.32,8.27,12018482000,9340201000,0,8000,12018482000,336230000,3.25,
32,2022,AAP,2022-01-01,9.62,9.55,12194209000,9065918000,193220000,8000,12194209000,160925000,3.25,
33,2021,AAP,2021-01-02,7.17,7.14,11839636000,,0,8000,11839636000,56347000,1.00,
34,2019,AAP,2019-12-28,6.87,6.84,5211214000,,,8000,5211214000,0,0.24,
35,2018,AAP,2018-12-29,1.85,1.84,9040648000,,,3550813000,9040648000,17819000,0.24,
36,2017,AAP,2017-12-30,1.46,1.46,8482301000,,,3415196000,8482301000,17854000,0.24,
37,2016,AAP,2016-12-31,0.75,0.74,8127701000,,,2460648000,8127701000,17649000,0.24,
38,2016,AAP,2016-01-02,0.75,0.74,8134565000,,,2460648000,8134565000,17649000,0.24,
39,2015,AAP,2015-01-03,1.15,1.15,7962358000,,,2002912000,7962358000,17580000,0.24,
40,2013,AAP,2013-12-28,5.36,5.32,5564774000,1137285000,1053584000,1516205000,5564774000,17574000,0.24,
41,2012,AAP,2012-12-29,5.29,5.22,4613814000,605876000,605088000,1210694000,4613814000,17596000,,
42,2011,AAP,2011-12-31,4.00,5.11,3655754000,1553411000,415984000,847914000,3655754000,18554000,,
43,2011,AAP,2011-01-01,4.00,3.95,3354217000,,,1039374000,3354217000,21051000,,
